String,Type,label,aug
"Hurry, before it is gone! No time remaining!",Urgency,1,1
"Hurry, only 1 left in stock!",Scarcity,1,0
Only one left in stock - order soon!,Scarcity,1,0
"Great prices, professional customer services",Not Dark Pattern,0,0
"Someone in Madrid, Spain just forgot",Social Proof,1,1
V-neck Printed Loose Short-sleeved Shirt,Not Dark Pattern,0,1
 Boardshorts,Not Dark Pattern,0,0
"shop in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",Social Proof,1,1
Time reserved for 15:00,Urgency,1,1
The Hoop Destination. Discover more,Not Dark Pattern,0,0
 Base Layer & Thermals ,Not Dark Pattern,0,0
LIMITED TIME: $10 OFF! DISCOUNT ABLE IN PRICE!,Urgency,1,1
ROAD CLOTHING,Not Dark Pattern,0,0
Spring Styles ,Not Dark Pattern,0,0
Manage Consent Preferences,Not Dark Pattern,0,0
🔥👁️ 1 person is viewing this.,Social Proof,1,0
Grab yourself a bargain!,Misdirection,1,0
I do not want to protect my item,Misdirection,1,0
THE COMPETITION TEAM,Misdirection,1,1
No thanks. I'd rather pay full price.,Misdirection,1,0
 Sale By Category ,Not Dark Pattern,0,0
Camo Shirts & Polo Shirts,Not Dark Pattern,0,1
RECENTLY VIEWED 2 others viewed this in the last few hours,Social Proof,1,0
9 people are viewing this.,Social Proof,1,0
 View all Oil & Acrylic Brushes categories ,Not Dark Pattern,0,0
(5 Left),Scarcity,1,0
Hurry up! Sales Ends in DAYS HRS MINS Posted by Beeketing,Urgency,1,1
3 Left,Scarcity,1,0
 TV & Home Appliances ,Not Dark Pattern,0,0
Only 3 items left,Scarcity,1,0
Crop Tops,Not Dark Pattern,0,0
 More Sports ,Not Dark Pattern,0,0
Sony Leica Cameras,Not Dark Pattern,0,1
"NO THANKS, I DON’T MIND MISSING OUT",Misdirection,1,0
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: FREE - HURRY! ENDS IN 16H 59M 06S,Urgency,1,1
Discreet packaging Edit,Not Dark Pattern,0,1
1626 people buying this product right now,Social Proof,1,1
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,Urgency,1,0
Current Offers,Not Dark Pattern,0,0
Horizon Wide Neck Sweatshirt,Not Dark Pattern,0,0
 Supply & Demand ,Not Dark Pattern,0,0
No wonder I don't like discounts,Misdirection,1,1
 Get The Look The Full Story Shop Now Read More ,Not Dark Pattern,0,0
Someone in Egypt bought,Social Proof,1,0
MOST POPULAR IES,Social Proof,1,1
 All Clothing ,Not Dark Pattern,0,0
JOINT Oil Prices,Not Dark Pattern,0,1
 Functional Marketing Cookies,Not Dark Pattern,0,0
"NO, I'LL PAY FULL PRICE",Misdirection,1,0
Low in stock: only 1 left.,Scarcity,1,0
Already opened an account?,Not Dark Pattern,0,1
We only have 8.0000 left in Stock,Scarcity,1,0
Would you like to buy more and sell more?,Misdirection,1,1
"Someone in Ampang, Malaysia just bought",Social Proof,1,0
Pillow & Foam Bed Wedges,Not Dark Pattern,0,0
Straight Hair Extensions,Not Dark Pattern,0,0
Harry Potter ,Not Dark Pattern,0,0
SAVE $300.00\nfor limited edition,Urgency,1,1
GET IN THE LOOP!,Not Dark Pattern,0,1
The Cosmic Mansion,Not Dark Pattern,0,1
1 person is viewing this,Social Proof,1,0
"No Thanks, I don't like exclusive deals.",Misdirection,1,0
Strength & Functional Training,Not Dark Pattern,0,0
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Social Proof,1,0
 Fashion Short Sleeve Crew Neck Print Dress ,Not Dark Pattern,0,0
WhiteBoho Rose Comforter and Sham Set,Not Dark Pattern,0,0
I already have this item. Do not add items to cart,Misdirection,1,1
"Nah, I like paying full price",Misdirection,1,0
V-neck Casual Loose Vintage Leather Short Sleeve T-shirt,Not Dark Pattern,0,1
30 people have purchased this item,Social Proof,1,0
Body Washes,Not Dark Pattern,0,0
New In ventions,Not Dark Pattern,0,1
Many thanks. I don't like free things...,Misdirection,1,1
Hair Care Sets,Not Dark Pattern,0,0
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,1,0
Plus Size Ripped Jeans,Not Dark Pattern,0,0
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,Not Dark Pattern,0,0
 Subscribe To Us Subscribe ,Not Dark Pattern,0,0
I also shopped for,Misdirection,1,1
 How to Recycle ,Not Dark Pattern,0,0
limited availability at this price!,Scarcity,1,0
"No thanks, I don’t like fun and games.",Misdirection,1,0
Shop by Activity,Not Dark Pattern,0,0
Offer ends in 03 days 19 hours : 54 mins : 58 secs,Urgency,1,1
can also buy this with,Misdirection,1,1
Rachel Comey,Not Dark Pattern,0,0
I don't want a discount,Misdirection,1,0
"No Thanks, I don't buy official software at the best price.",Misdirection,1,1
Most of our orders are from repeat customers.,Not Dark Pattern,0,0
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,1,0
 Track your order by entering your order number and email below or if you would like to create an account or log in (click here) ,Not Dark Pattern,0,0
Retro Cordless Edison Bulb Lamp,Not Dark Pattern,0,0
ALL ENDS IN: 10 HRS 40 MIN 00 SEC,Urgency,1,1
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Social Proof,1,0
Only 6 items left,Scarcity,1,0
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,1,0
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Misdirection,1,0
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Urgency,1,0
Bearded Dragon Substrates,Not Dark Pattern,0,0
 All Brands A-Z ,Not Dark Pattern,0,0
Registered users are currently active on our website,Social Proof,1,1
DAYS HRS MINS SECS,Urgency,1,0
Only 4 left!,Scarcity,1,0
Pink and Driveline,Not Dark Pattern,0,1
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation,Not Dark Pattern,0,0
"No, thanks. I'd rather pay full price.",Misdirection,1,0
More Purple School Uniforms,Not Dark Pattern,0,1
"Only 2 left, order soon",Scarcity,1,0
Over 38 bought,Social Proof,1,0
 Other Snacks ,Not Dark Pattern,0,0
Accessibly App features,Not Dark Pattern,0,0
Only 9 left in stock,Scarcity,1,0
Courtesy Victoria Beckham,Not Dark Pattern,0,1
" ... It covers love and loss, friendship and pain through ",Not Dark Pattern,0,0
Join the Team,Not Dark Pattern,0,0
"No thanks, free stuff isn't for me.",Misdirection,1,0
Fashion Forward,Not Dark Pattern,0,0
"No I don't feel .""",Misdirection,1,1
Only 4 left in this size!,Scarcity,1,0
Limited-time Offer: Bundle a base and get 20% off,Misdirection,1,0
Your order is valid for 09:45 minutes!,Urgency,1,1
TRE by Natalie Ratabesi,Not Dark Pattern,0,0
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,Not Dark Pattern,0,0
I wish to Start Shopping but I don't want to receive daily email alerts about these amazing discounts on luxury brands.,Misdirection,1,1
 Redirecting to Futech Deals for secure checkout... ,Not Dark Pattern,0,0
 Men's Apparel Collection ,Not Dark Pattern,0,0
Warne Mounts Archives,Not Dark Pattern,0,1
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Social Proof,1,0
Show Password Name,Not Dark Pattern,0,1
Hurry up! 6 people other than you have this product in their cart,Social Proof,1,0
"No thanks, I like paying the price",Misdirection,1,1
Camo Shirts & T Shirts,Not Dark Pattern,0,0
Offer ends in 9hrs 55min 29sec!,Urgency,1,0
Hurry! Only 7 left,Scarcity,1,0
Ice shake flavor:,Not Dark Pattern,0,1
In Stock - Limited Quantity,Scarcity,1,0
"No thanks, I'm not !",Misdirection,1,1
-90% discount if you order within 9:55:44,Urgency,1,0
Naked Wolfe Cookies,Not Dark Pattern,0,1
LIMITED TIME OFFER,Urgency,1,0
ON SALE AT HOME FOR A LIMITED TIME,Urgency,1,1
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,1,0
Crossman Air Force,Not Dark Pattern,0,1
"No , I don't like exclusive deals.",Misdirection,1,1
• State-by-State Restrictions,Not Dark Pattern,0,0
 Light powerful. ,Not Dark Pattern,0,0
Bob's Outreach ,Not Dark Pattern,0,0
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Social Proof,1,0
tedpullin,Not Dark Pattern,0,0
Lasers ,Not Dark Pattern,0,0
5 people are looking at this product right now,Social Proof,1,0
Back by Demand,Not Dark Pattern,0,0
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof,1,0
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern,0,0
 Search Close ,Not Dark Pattern,0,0
"Hurry, this style is selling fast!",Scarcity,1,0
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern,0,0
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Urgency,1,0
"GRACE from ORLANDO, United States bought a Jumpsuit 31 minutes ago",Social Proof,1,1
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Social Proof,1,0
Work Solid Simple Crew Neck Half Sleeve Top,Not Dark Pattern,0,0
Delivery & support,Not Dark Pattern,0,0
Hurry! Only 2 left in stock,Scarcity,1,0
Carnival Remotes Edit,Not Dark Pattern,0,1
 Articles: Medical Matters ,Not Dark Pattern,0,0
Lenscap: Damage Only,Misdirection,1,0
≡ Customer Reviews Clicking on the following button will update the content below,Not Dark Pattern,0,1
Only 1 item(s) left in stock,Scarcity,1,0
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 15 minutes",Social Proof,1,1
"$3,159.20 $3,949.00 Limited time only",Urgency,1,0
Casual Wear,Not Dark Pattern,0,0
How about one of those hot sellers?,Misdirection,1,1
"No thanks, I don't like discounts",Misdirection,1,0
52 people are looking at this right now.,Social Proof,1,0
 All Men's Brands ,Not Dark Pattern,0,0
308 viewed per day,Social Proof,1,0
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,1,0
Shopping with JD,Not Dark Pattern,0,0
Your order is reserved for 09:14 minutes! ,Urgency,1,0
OH SO POPULAR! 21 episodes in the last 7 days.,Social Proof,1,1
Thanks! -RMO Team,Not Dark Pattern,0,0
 powered by: Cookie Information ,Not Dark Pattern,0,0
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Social Proof,1,0
Only 8 Left!,Scarcity,1,0
eWriters & Graphics Tablets,Not Dark Pattern,0,0
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Social Proof,1,0
Only a few more left!,Scarcity,1,0
Cleaning Brushes & Tools,Not Dark Pattern,0,0
"NO, I DON'T FEEL LUCKY",Misdirection,1,0
Cut & Save (15%): $ 16.99,Misdirection,1,1
 Best-Selling Products ,Not Dark Pattern,0,0
Brandon Blackwood,Not Dark Pattern,0,0
___,Not Dark Pattern,0,0
 Mountboard ,Not Dark Pattern,0,0
A long sleeve organic shirt,Not Dark Pattern,0,1
ONLY 1 WATCH LEFT,Scarcity,1,0
Pleated Skirts,Not Dark Pattern,0,0
Limited Time,Urgency,1,0
 New Arrivals,Not Dark Pattern,0,0
"Fancy some creative inspiration, news and offers? Sign up for SAA enewsletters today.",Not Dark Pattern,0,0
Special Offers! 80% Off Everything 07:25:41,Urgency,1,1
Natural Backgrounds,Not Dark Pattern,0,0
"No Thanks, I'd rather pay full price",Misdirection,1,0
No wonder I don't like saving money,Misdirection,1,1
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY TIME : 04HOURS : 13MINS : 28SECS",Urgency,1,1
 Lens Manual Washer ,Not Dark Pattern,0,0
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern,0,0
Great choice!,Not Dark Pattern,0,0
OFFER ENDS: 09h: 09m: 55s: 0 ,Urgency,1,0
 Electric Daisy ,Not Dark Pattern,0,0
ONLY 1 LEFT IN STOCK,Scarcity,1,0
Zero Gravity Glass Chairs,Not Dark Pattern,0,1
Warne Mounts,Not Dark Pattern,0,0
FLASH SALE | LIMITED TIME ONLY Shop HERE,Urgency,1,1
"Port, Sherry & Fine Wine",Not Dark Pattern,0,1
Herbaceous oil rich in anti-aging polyphenols.,Not Dark Pattern,0,0
Creators' Council Meeting,Not Dark Pattern,0,1
HomeFlowersColourful Mixed Roses Bouquet,Not Dark Pattern,0,0
 Learn More ,Not Dark Pattern,0,0
Free Shipping & Easy Returns always! ,Not Dark Pattern,0,0
No doubt I definitely measured correctly,Misdirection,1,1
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,1,0
1 in Stock,Scarcity,1,0
Hot Offer. Limited Time,Urgency,1,0
 Yearly ,Not Dark Pattern,0,0
Hairy Chest T-Shirt And Bag Combo,Not Dark Pattern,0,1
" Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter. ",Not Dark Pattern,0,0
"No Thanks, I'd Rather Pay Full Price",Misdirection,1,0
Fast Mover: 35 PEOPLE added this to cart today!,Social Proof,1,0
Sale Coats and Jackets,Not Dark Pattern,0,0
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,1,0
Updated within 10:00,Urgency,1,1
Only 2 left!,Scarcity,1,0
History Of The NRA,Not Dark Pattern,0,0
"Nah, I like paying full disclosure",Misdirection,1,1
"The site was easy to navigate. I haven't received my shoes yet, but overall a good experience.",Not Dark Pattern,0,0
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,1,0
Hair Care Remedies,Not Dark Pattern,0,0
52 people have added this product to bag in the last 72 hours,Social Proof,1,0
 Microsoft Xbox One S Wireless Controller » ,Not Dark Pattern,0,0
 View In Your Room ,Not Dark Pattern,0,0
Baby Boy Jumpsuits and Rompers,Not Dark Pattern,0,0
"No Thanks, I don't like free bies",Misdirection,1,1
No thanks. I 'm paying full price.,Misdirection,1,1
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,1,0
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection,1,0
Mallet E Speed Lace - Black/Silver,Not Dark Pattern,0,0
Color Block,Not Dark Pattern,0,0
 Sign In / Join ,Not Dark Pattern,0,0
Last purchased at 11:19am today.,Social Proof,1,0
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Urgency,1,0
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",Not Dark Pattern,0,0
"No thanks, I paid full price",Misdirection,1,1
Thermostats,Not Dark Pattern,0,0
Only 1 in stock,Scarcity,1,0
New Rifles,Not Dark Pattern,0,0
No thanks. I don't like free things...,Misdirection,1,0
35% OFF EVERYTHING* EXCL SALE & PLEASE ENTER: DOLL35 - HURRY! ENDS IN 16H 59M 06S,Urgency,1,1
Graphic T-Shirts,Not Dark Pattern,0,0
ONLY 3 LEFT,Scarcity,1,0
Terra - Medium Brown,Not Dark Pattern,0,0
Only 8 left in stock,Scarcity,1,0
Call It Spring,Not Dark Pattern,0,0
"Once a celebrated author of short stories now in his twilight years, ",Not Dark Pattern,0,0
Last Updated Guide,Not Dark Pattern,0,1
PG Picks: Skin Care for Kids,Not Dark Pattern,0,1
No wonder I hate saving money,Misdirection,1,1
Sign In To Google,Not Dark Pattern,0,1
11 11 Hours: 00 22 Minutes: 00 3223 Seconds,Urgency,1,1
"No thanks, I really like free stuff",Misdirection,1,1
"No thanks, but rather pay full price.",Misdirection,1,1
 Year of Ours ,Not Dark Pattern,0,0
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark Pattern,0,0
Ericdress Summer Patchwork Polyester Long Women's Tank Top,Not Dark Pattern,0,0
"No thanks, I prefer to pay more for shoes!",Misdirection,1,0
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof,1,0
Glow Gear,Not Dark Pattern,0,0
Aids and processing†,Not Dark Pattern,0,1
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE WITH IMPORT DUTIES.,Urgency,1,1
POPULAR Several others checked this out in the last few hours.,Social Proof,1,1
Play ends in 9hrs 55min 29sec!,Urgency,1,1
Only 69 left!,Scarcity,1,0
LOW IN STOCK!! GET YOURS NOW,Scarcity,1,0
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency,1,0
Shop for interactive whiteboards,Not Dark Pattern,0,1
5 in stock,Scarcity,1,0
1 left in stock,Scarcity,1,0
"Easy, awesome! ready to go. Held a charge first night",Not Dark Pattern,0,0
 Champagne Taittinger ,Not Dark Pattern,0,0
251 people are viewing this right now,Social Proof,1,0
 C.P. Company ,Not Dark Pattern,0,0
All Scrapbooking Supplies,Not Dark Pattern,0,0
only 5 left in stock!,Scarcity,1,0
2day 13:49:51 Left,Urgency,1,0
Our Own Footprint,Not Dark Pattern,0,1
Memory Cards,Not Dark Pattern,0,0
Grey Jewelry,Not Dark Pattern,0,0
Hair Color + Highlights,Not Dark Pattern,0,0
"No thanks, I don't like good deals.",Misdirection,1,0
Lace Front African American Wigs,Not Dark Pattern,0,0
"[NO THANKS, I'LL JUST WALK]",Misdirection,1,0
(only 5 left),Scarcity,1,0
 Digital Device Covers ,Not Dark Pattern,0,0
"Before you check out, can vaping tempt you?",Misdirection,1,1
Tools & Crafting Tools,Not Dark Pattern,0,1
"Yes, I Want To Save Money!No Thanks",Misdirection,1,0
"No thanks, I don't want a Christmas gift.",Misdirection,1,1
"No thanks, I don't like getting free stuff.",Misdirection,1,0
Institute for Legislative Action,Not Dark Pattern,0,0
 Midleton Very Rare ,Not Dark Pattern,0,0
Surgical & Face Masks,Not Dark Pattern,0,0
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Social Proof,1,0
HOW TO MANAGE SIDE EFFECTS,Not Dark Pattern,0,0
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,1,0
"Don't miss out, only 2 left in stock",Scarcity,1,0
V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the Victorian museum is renowned for.,Not Dark Pattern,0,1
› Happy Ohm Juice,Not Dark Pattern,0,1
ADD FOR BETTER RESULTS,Misdirection,1,0
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern,0,0
*Freight/Higher Duty charges may apply to some areas. Click here to view Shipping Policy,Not Dark Pattern,0,1
. ,Not Dark Pattern,0,0
Grey Jewelry Collection,Not Dark Pattern,0,1
How about one of these hot sellers?,Misdirection,1,0
Complete your purchase within the next 12:18 minutes and receive 10% off,Urgency,1,0
I don't like discounts,Misdirection,1,0
40 users are currently active on our website just yet,Social Proof,1,1
Only 2 copies left,Scarcity,1,0
 Stone Cold Steve Austin ,Not Dark Pattern,0,0
Hurry Up! Only 1 Piece Left,Scarcity,1,0
STAY IN THE LOOP!,Not Dark Pattern,0,0
"Hurry, limited quantities left!",Scarcity,1,0
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern,0,0
Shirts & Blouses,Not Dark Pattern,0,0
+ Performance Cookies,Not Dark Pattern,0,0
 Also notify me about New Arrivals! ,Not Dark Pattern,0,0
LOGO BLACK LIST,Not Dark Pattern,0,1
New in Translation,Not Dark Pattern,0,1
Your order is reserved for 09:54 minutes!,Urgency,1,0
"No thanks, I'd rather pay full price.",Misdirection,1,0
Hurry! Only 15 left!,Scarcity,1,0
Viewed 744 times today,Social Proof,1,0
"In stock, only 1 products left",Scarcity,1,0
Sometimes I don't feel lucky,Misdirection,1,1
Brand: NFL Pro Line backer Fanatics Branded,Not Dark Pattern,0,1
Jewelry & Watches,Not Dark Pattern,0,1
Your request is prioritized for 13:22 minutes!,Urgency,1,1
FREE TIME OFFER : Grab a Matching Pair & save up 60%!,Misdirection,1,1
9 sold in last 4 hours,Social Proof,1,0
Hurry! Only 9 left in stock.,Scarcity,1,0
"No thanks, I'll be the first to know.",Misdirection,1,1
LESS THAN 5 LEFT!,Scarcity,1,0
Clarity Remotes,Not Dark Pattern,0,0
3 left in stock,Scarcity,1,0
Color Block Color,Not Dark Pattern,0,1
High Gable Sheds,Not Dark Pattern,0,0
How Do I Rinse Up My Overnight Hair Oil Treatment?,Not Dark Pattern,0,1
FREE OFF for Limited Time Only!!!,Urgency,1,1
This item is only VALID if you add to cart now!,Misdirection,1,1
Soft Flexible (Classic) ,Not Dark Pattern,0,0
I'D RATHER PAY FULL REST,Misdirection,1,1
 Printed Long Sleeves Casual Blouse For Women ,Not Dark Pattern,0,0
"NO THANKS, I DON'T LIKE FREE STUFF",Misdirection,1,0
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and reduces oiliness.",Not Dark Pattern,0,1
 Subscribe ,Not Dark Pattern,0,0
Favored By: 400 people!,Social Proof,1,0
I have a strong aversion to walnut. Even the sapwood can look very presentable when finished good. Thus cutting board is a great item for use and conversation and looks good.,Not Dark Pattern,0,1
Hurry! Only a few of these left,Scarcity,1,0
What Are Your Crystals?,Not Dark Pattern,0,1
Limited Time Remaining!,Urgency,1,0
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Leather Sleeve - FS429 4 hours ago",Social Proof,1,1
No thanks - I don't want to save money,Misdirection,1,0
 shop by trend ,Not Dark Pattern,0,0
"No thanks, I don't like FREE stuff.",Misdirection,1,0
Last Shape Guide,Not Dark Pattern,0,0
SHOP TRIATHLON,Not Dark Pattern,0,0
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,1,0
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Urgency,1,0
 Data Processor: Amobee ,Not Dark Pattern,0,0
"No thanks, I've got too much cool cool stuff!",Misdirection,1,1
Hurry Up ! Just 2 Items Left in stock,Scarcity,1,0
Only 1 left in stock! Get in quick!,Scarcity,1,0
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it .,Not Dark Pattern,0,1
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Social Proof,1,0
Rainbow Li pton,Not Dark Pattern,0,1
Recent Searches,Not Dark Pattern,0,0
Skin Concerns,Not Dark Pattern,0,0
Occasion: Anniversary Edition,Not Dark Pattern,0,1
"Hurry, Only a few left!",Scarcity,1,0
Christmas Gift Ideas,Not Dark Pattern,0,1
156 sold in last 24 hours,Social Proof,1,0
Only 14 left in stock,Scarcity,1,0
 Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy ,Not Dark Pattern,0,0
 Shop All NFL ,Not Dark Pattern,0,0
33 sold in just 12 hours.,Social Proof,1,1
Your order is reserved for 09:58 minutes!,Urgency,1,0
Functional Cookies,Not Dark Pattern,0,0
FLASH 19:15:22,Urgency,1,0
This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.,Not Dark Pattern,0,0
"Save 25% on your entire order 48 Hours 57 Minutes 34Seconds use code: SPRING25""",Urgency,1,1
Only 34 Left!,Scarcity,1,0
Delivery & Returns,Not Dark Pattern,0,0
Selling Fast,Scarcity,1,0
HURRY! ONLY 1 IN STOCK!,Scarcity,1,0
17 people have added this item to cart,Social Proof,1,0
"Nah, I like paying the price",Misdirection,1,1
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Not Dark Pattern,0,0
71 people have viewed this item,Social Proof,1,1
Beetle Remotes,Not Dark Pattern,0,0
Dressmakers Mannequins ,Not Dark Pattern,0,0
selected language日本語currencyJPY,Not Dark Pattern,0,0
"No thanks, I don't like savings",Misdirection,1,0
Your order is reserved for 09:14 minutes!,Urgency,1,0
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Urgency,1,0
About this product,Not Dark Pattern,0,1
" Sorry, we could not process your request at the moment. Please try again in a few minutes. ",Not Dark Pattern,0,0
111 people have purchased this item,Social Proof,1,0
Womens Plaid List,Not Dark Pattern,0,1
Please note: we do not ship to PO Boxes,Not Dark Pattern,0,0
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Social Proof,1,0
View all,Not Dark Pattern,0,0
Footwear Accessories Guide,Not Dark Pattern,0,1
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Urgency,1,0
Just BEE Queen,Not Dark Pattern,0,0
Shop all,Not Dark Pattern,0,0
12 recently purchased it.,Social Proof,1,0
00:15:07:45,Urgency,1,0
I have a strong liking to walnut. Even the sapwood can look very presentable when finished good. Thus cutting board is a great item for use and conversation and looks good. ,Not Dark Pattern,0,0
LIMITED TIME OUT,Urgency,1,1
beautifully written prose,Not Dark Pattern,0,0
Only 1 left in stock! Order soon!,Scarcity,1,0
Daystate FAC Air Rifles,Not Dark Pattern,0,0
IF I'D RATHER PAY FULL PRICE,Misdirection,1,1
Wish Your Loved Ones Instantly with Ferns N Petals International Services,Not Dark Pattern,0,0
JFN Scallop Leather Neck Solid Casual T-Shirt/Tee,Not Dark Pattern,0,1
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency,1,0
Only 15 left in stock,Scarcity,1,0
Lace Front Among American Wigs,Not Dark Pattern,0,1
77 PEOPLE LIKE THIS,Social Proof,1,0
"No Thanks, We Don't Like Exclusive Offers.",Misdirection,1,1
2 in stock,Scarcity,1,0
ONLY 1 LEFT! GET IT NOW!,Scarcity,1,0
"No thanks, I want to pay the full price.",Misdirection,1,0
Over 238 people have bought this product,Social Proof,1,0
11 48 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Urgency,1,1
Browse by A-Z,Not Dark Pattern,0,0
Art & Crafting Tools,Not Dark Pattern,0,0
OUR BEST SELLING VIDEOS,Misdirection,1,1
Don't miss out! We've sold 38 in the last few days.,Social Proof,1,0
only 5 left,Scarcity,1,0
"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",Social Proof,1,0
SHIPPING INFO HERE,Not Dark Pattern,0,1
There is only one product left!,Scarcity,1,0
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully,Not Dark Pattern,0,0
Highline Double Wheel Bag,Not Dark Pattern,0,0
Subscribe now. Pay later. Always interest-free,Not Dark Pattern,0,1
Order in 13:16 to get $200 off your mattress,Urgency,1,0
Purchased 100+ times in the last few days.,Social Proof,1,0
Anaheim Arizona CoyotesCalgary FlamesChicago BlackhawksColorado AvalancheDallas StarsEdmonton OilersLos Angeles KingsMinnesota Wild,Not Dark Pattern,0,1
Shop Dresses by Occasion,Not Dark Pattern,0,0
only 2 left,Scarcity,1,0
Free climate compensated shipping & returns,Not Dark Pattern,0,0
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders !,Urgency,1,1
How/why the company uses cookies,Not Dark Pattern,0,1
American Diamond backs,Not Dark Pattern,0,1
 All Licensed ,Not Dark Pattern,0,0
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof,1,0
Great for keeping track of your pup while at work,Not Dark Pattern,0,0
